Wall time,Step,Value
1549447278.158987,25863680,2.5413122177124023
1549447501.224012,25886720,2.580486297607422
1549448060.739968,25943040,2.7915329933166504
1549448676.940665,26007040,2.715111255645752
1549449558.855439,26096640,2.7031867504119873
1549449991.435961,26140160,2.7788705825805664
1549450220.571744,26163200,2.5546412467956543
1549451748.939307,26319360,2.655106544494629
1549452375.663706,26383360,2.7825851440429688
1549452696.630931,26416640,2.7839808464050293
1549453591.98703,26508800,2.9082119464874268
1549453665.612445,26516480,2.773261308670044
1549456577.376294,26813440,2.7123961448669434
1549457562.174346,26915840,2.570585250854492
1549457831.115669,26944000,2.7136588096618652
1549458030.212196,26964480,2.6082091331481934
1549458233.487377,26984960,2.451815366744995
1549458336.582547,26995200,2.4825923442840576
1549458655.743383,27028480,2.576066493988037
1549459005.716765,27064320,2.6081478595733643
1549461250.51374,27292160,2.771871566772461
1549461529.597392,27320320,2.7571218013763428
1549462427.669232,27412480,2.716280698776245
1549463174.606095,27489280,3.141084909439087
1549464361.373669,27609600,2.608391046524048
1549465207.327505,27694080,2.490577220916748
1549465530.364697,27727360,2.601083755493164
1549465653.402317,27740160,2.479924440383911
1549466459.218977,27822080,2.509239435195923
1549466707.485174,27847680,2.7186527252197266
1549467537.187424,27932160,2.729968547821045
1549467562.146527,27934720,2.6505537033081055
1549468392.756177,28019200,2.8363938331604004
1549468801.636192,28060160,2.8020005226135254
1549468850.100997,28065280,2.790764093399048
1549469274.789328,28108800,2.6725826263427734
1549469691.90087,28152320,2.396421432495117
1549469740.700895,28157440,2.795560121536255
1549470317.474991,28216320,2.5545222759246826
1549470367.70521,28221440,2.6285288333892822
1549470992.982295,28285440,2.817302942276001
1549472769.946105,28467200,2.793551206588745
1549473839.256196,28577280,2.555589199066162
1549473863.31923,28579840,2.439398765563965
1549473937.279552,28587520,2.8488471508026123
1549474609.799292,28656640,2.9981820583343506
1549475209.402508,28718080,2.8300347328186035
1549475460.829431,28743680,2.5299367904663086
1549476116.7312,28810240,2.8572802543640137
1549477739.192659,28976640,2.8387291431427
1549478641.819954,29068800,2.6409101486206055
1549479145.787798,29120000,2.743020534515381
1549479744.925111,29181440,2.578291893005371
1549481488.358245,29358080,2.62515926361084
1549481819.774979,29391360,2.6918859481811523
1549484101.348101,29626880,2.7319507598876953
1549484150.878811,29632000,2.7667076587677
1549484226.417136,29639680,2.8266963958740234
1549484479.998803,29665280,2.7021377086639404
1549484753.233787,29693440,2.729605197906494
1549486324.922121,29854720,2.6958842277526855
1549487236.394199,29946880,2.8985588550567627
1549489360.207692,30164480,2.7349114418029785
1549489924.621901,30223360,2.506469964981079
1549491583.392669,30392320,2.8494584560394287
1549491682.946621,30402560,2.683826446533203
1549492639.046337,30499840,2.861879825592041
1549493107.950605,30548480,2.4119977951049805
1549494332.056068,30673920,2.5517499446868896
1549496500.176302,30894080,2.653613567352295
1549496730.374842,30917120,2.7085318565368652
1549497999.757383,31047680,2.459498882293701
1549498792.994904,31129600,2.850898504257202
1549499092.439056,31160320,2.7359752655029297
1549500755.697176,31331840,2.7370290756225586
1549501202.391615,31377920,2.337677240371704
1549501227.727271,31380480,2.55387544631958
1549501665.347091,31424000,2.691581964492798
1549501788.947999,31436800,3.0230696201324463
1549502239.962914,31482880,2.4952688217163086
1549503941.027191,31656960,2.864028215408325
1549504414.196831,31705600,2.6190645694732666
1549506210.094745,31889920,2.6340837478637695
1549506634.74161,31933440,2.5140812397003174
1549506965.522662,31966720,2.9276366233825684
1549507768.290812,32048640,2.6185851097106934
1549509094.16956,32184320,2.876304864883423
1549509268.843401,32202240,2.6815855503082275
1549509441.631506,32220160,2.597593307495117
1549509707.415087,32248320,2.636183977127075
1549509731.286785,32250880,2.607466220855713
1549511066.703999,32386560,2.507420778274536
1549511324.803036,32412160,2.30769419670105
1549511499.355571,32430080,2.6097099781036377
1549511524.484197,32432640,2.639491558074951
1549513639.624426,32650240,2.5945544242858887
1549513917.184561,32678400,2.524054765701294
1549514516.596489,32739840,2.7185251712799072
1549515142.874873,32803840,2.8583133220672607
1549515317.141386,32821760,2.5840961933135986
1549515442.28029,32834560,2.7850894927978516
1549516487.883845,32942080,2.7362442016601562
1549516710.250123,32965120,2.574312210083008
1549516937.046738,32988160,2.7025721073150635
1549519073.444467,33205760,2.5713908672332764
1549519825.759706,33282560,2.558156728744507
1549520003.576005,33300480,2.502387762069702
1549520225.966783,33323520,2.705369710922241
1549521745.057529,33479680,2.7915799617767334
1549521846.058899,33489920,2.807462215423584
1549521972.867394,33502720,2.607109785079956
1549522575.24853,33564160,2.5874083042144775
1549522827.078481,33589760,2.3852052688598633
1549522928.222721,33600000,2.5792438983917236
1549523581.784767,33666560,2.222615957260132
1549525185.483162,33830400,2.191676378250122
1549526796.329127,33994240,2.0732879638671875
1549526843.179816,33999360,2.1893842220306396
1549527094.522853,34024960,2.3553128242492676
1549527867.475929,34104320,2.4567198753356934
1549529034.57017,34224640,2.518688678741455
1549529610.716192,34283520,2.0895743370056152
1549530860.049667,34411520,2.2631661891937256
1549531714.560215,34498560,2.105572462081909
1549533262.865211,34657280,2.098482131958008
1549534030.337047,34736640,2.23026180267334
1549535583.802142,34895360,2.1622207164764404
1549536080.17168,34946560,2.142359495162964
1549536285.78651,34967040,2.1517601013183594
1549537363.584477,35077120,2.0510592460632324
1549537462.395331,35087360,2.1683006286621094
1549538032.31166,35146240,2.1898365020751953
1549538107.996111,35153920,1.8371561765670776
1549538710.116685,35215360,2.173736333847046
1549538787.789898,35223040,2.3888347148895264
1549539090.433032,35253760,2.121873140335083
1549541875.47109,35537920,2.3664424419403076
1549541922.983363,35543040,2.2830562591552734
1549542419.646456,35594240,2.1664719581604004
1549544369.231395,35793920,2.098345994949341
1549547098.476051,36072960,2.256830930709839
1549547875.647382,36152320,2.090977668762207
1549550166.469925,36385280,2.1618268489837646
1549550607.861192,36431360,2.162041425704956
1549550910.416669,36462080,1.9251796007156372
1549550985.673962,36469760,1.9246019124984741
1549552312.525769,36605440,2.06769061088562
1549552414.012979,36615680,1.985140085220337
1549553816.858775,36759040,2.059765100479126
1549554316.398024,36810240,2.043536424636841
1549555360.567939,36917760,1.958816647529602
1549556133.26526,36997120,1.9356486797332764
1549556232.445586,37007360,2.1066956520080566
1549556307.06035,37015040,2.198605537414551
1549556481.697967,37032960,1.9278056621551514
1549556725.733775,37058560,2.0897529125213623
1549557721.868433,37160960,1.9578815698623657
1549558256.294301,37214720,1.8992054462432861
1549558307.599877,37219840,2.0377442836761475
1549558405.613156,37230080,2.2924304008483887
1549559968.583718,37388800,2.2982828617095947
1549560968.134586,37491200,2.0397653579711914
1549560992.021379,37493760,2.014260768890381
1549561392.692956,37534720,1.908998966217041
1549561564.240508,37552640,1.9597200155258179
1549562085.924078,37606400,1.95158052444458
1549563331.966769,37734400,1.9971460103988647
1549563637.334537,37765120,2.0681238174438477
1549564544.238544,37857280,1.8526983261108398
1549564825.285448,37885440,2.0233235359191895
1549565667.711095,37972480,1.8948659896850586
1549567327.056334,38141440,2.1155803203582764
1549567428.144622,38151680,1.9976164102554321
1549568894.261275,38302720,1.9267418384552002
1549569788.442061,38394880,2.0844531059265137
1549569865.086892,38402560,2.185763120651245
1549571588.061463,38579200,2.2273755073547363
1549571662.758768,38586880,2.1577389240264893
1549571992.845263,38620160,1.9305201768875122
1549573110.916916,38735360,1.9876773357391357
1549573237.004039,38748160,2.00414776802063
1549573285.237317,38753280,1.9314210414886475
1549573361.715458,38760960,1.879490613937378
1549573616.336233,38786560,2.0674405097961426
1549573666.420778,38791680,2.042295455932617
1549575287.133004,38958080,2.060898542404175
1549575311.965181,38960640,2.04491925239563
1549575593.103878,38988800,2.1010916233062744
1549576679.987515,39098880,1.9901789426803589
1549576759.415906,39106560,1.9924403429031372
1549577938.473755,39226880,1.960780143737793
